timestamp,x_m,y_m,yaw_deg
1787490161.2838416,0.74401,0.26085,0.0
1787490161.3841722,0.71447,0.25154,0.0
1787490161.4846237,0.68551,0.24316,0.0
1787490161.5844316,0.65689,0.23656,0.0
1787490161.6843715,0.62773,0.23002,0.0
1787490161.7843552,0.59921,0.22604,0.0
1787490161.8842115,0.58301,0.22414,0.0
1787490161.9843469,0.59114,0.22461,0.0
1787490162.0845482,0.58431,0.22,0.0
1787490162.184563,0.54937,0.2058,0.0
1787490162.3053076,0.50929,0.19104,0.0
1787490162.4049425,0.47671,0.17885,0.0
1787490162.503999,0.4538,0.1703,0.0
1787490162.6048763,0.43127,0.16183,0.0
1787490162.704378,0.40128,0.15044,0.0
1787490162.8243406,0.36881,0.13799,0.0
1787490162.9257197,0.33989,0.12749,0.0
1787490163.0258567,0.31499,0.11998,0.0
1787490163.1243706,0.29989,0.11412,0.0
1787490163.2252326,0.27319,0.09378,0.0
1787490163.3248343,0.24222,0.07834,0.0
1787490163.4241436,0.21529,0.06406,0.0
1787490163.525684,0.19797,0.05539,0.0
1787490163.6250868,0.18666,0.0493,0.0
1787490163.7436385,0.17268,0.04198,0.0
1787490163.8456926,0.1562,0.03373,0.0
1787490163.9448814,0.14403,0.03023,0.0
1787490164.0457048,0.14581,0.03186,0.0
1787490164.1458902,0.15623,0.03441,0.0
1787490164.245181,0.15619,0.03594,0.0
1787490164.3452551,0.15467,0.03656,0.0
1787490164.4448583,0.15146,0.03506,0.0
1787490164.5458267,0.14952,0.03299,0.0
1787490164.6444588,0.15034,0.03328,0.0
1787490164.744926,0.15239,0.03519,0.0
1787490164.8463511,0.15301,0.03164,0.0
1787490164.949937,0.14864,0.02306,0.0
1787490165.0656915,0.13884,0.00663,0.0
1787490165.1665292,0.12724,-0.01243,0.0
1787490165.2656488,0.11985,-0.0254,0.0
1787490165.3665073,0.11497,-0.03218,0.0
1787490165.4666035,0.11074,-0.04208,0.0
1787490165.5658908,0.11156,-0.04266,0.0
1787490165.6665664,0.11637,-0.03666,0.0
1787490165.7655625,0.11761,-0.03249,0.0
1787490165.865957,0.11368,-0.03445,0.0
1787490165.9661577,0.11065,-0.03769,0.0
1787490166.0875018,0.11302,-0.03617,0.0
1787490166.185826,0.11488,-0.03361,0.0
1787490166.2852442,0.11319,-0.03285,0.0
1787490166.3862858,0.11087,-0.03447,0.0
1787490166.4858234,0.11039,-0.03471,0.0
1787490166.5867612,0.1113,-0.0338,0.0
1787490166.7082384,0.11175,-0.03256,0.0
1787490166.8055592,0.11339,-0.02821,0.0
1787490166.9052093,0.11331,-0.02883,0.0
1787490167.005625,0.11161,-0.03358,0.0
1787490167.1057382,0.11083,-0.03364,0.0
1787490167.2255003,0.11242,-0.03002,0.0
1787490167.3258193,0.11252,-0.03032,0.0
1787490167.425409,0.11141,-0.03434,0.0
1787490167.5250487,0.11107,-0.03477,0.0
1787490167.625632,0.11067,-0.03503,0.0
1787490167.72473,0.11139,-0.03246,0.0
1787490167.8245919,0.11259,-0.02941,0.0
1787490167.9452004,0.11239,-0.031,0.0
1787490168.046268,0.11078,-0.03499,0.0
1787490168.1457784,0.11114,-0.03316,0.0
1787490168.2459698,0.11233,-0.03069,0.0
1787490168.3457978,0.1126,-0.0315,0.0
1787490168.4453712,0.11107,-0.03418,0.0
1787490168.5460885,0.11034,-0.0354,0.0
1787490168.6463225,0.11129,-0.03518,0.0
1787490168.745648,0.11184,-0.03303,0.0
1787490168.8446417,0.11324,-0.02905,0.0
1787490168.9448605,0.11297,-0.02915,0.0
1787490169.0457673,0.1134,-0.03193,0.0
1787490169.1440408,0.11253,-0.03508,0.0
1787490169.2461412,0.11127,-0.03601,0.0
1787490169.345724,0.11164,-0.03573,0.0
1787490169.4682708,0.11219,-0.03266,0.0
1787490169.5677762,0.11363,-0.02891,0.0
1787490169.6673012,0.11308,-0.02943,0.0
1787490169.7683454,0.11291,-0.03147,0.0
1787490169.867242,0.11176,-0.03438,0.0
1787490169.9860716,0.11252,-0.03479,0.0
1787490170.0866475,0.11255,-0.03333,0.0
1787490170.1852388,0.11414,-0.02801,0.0
1787490170.2860572,0.11397,-0.02806,0.0
1787490170.3861835,0.11417,-0.02857,0.0
1787490170.4857888,0.11285,-0.03376,0.0
1787490170.58646,0.11167,-0.034,0.0
1787490170.686221,0.11145,-0.03473,0.0
1787490170.7863078,0.11133,-0.03368,0.0
1787490170.8877382,0.11381,-0.02789,0.0
1787490170.9858503,0.11351,-0.02868,0.0
1787490171.0859723,0.1129,-0.02874,0.0
1787490171.1851187,0.11203,-0.03408,0.0
1787490171.3053837,0.11191,-0.03445,0.0
1787490171.4078236,0.11274,-0.03425,0.0
1787490171.5071063,0.11174,-0.03333,0.0
1787490171.6079597,0.11286,-0.02794,0.0
1787490171.7123318,0.11247,-0.02799,0.0
1787490171.8065815,0.11322,-0.02753,0.0
1787490171.9062989,0.11284,-0.03312,0.0
1787490172.0058293,0.11189,-0.03352,0.0
1787490172.1063771,0.11149,-0.03371,0.0
1787490172.2100453,0.1112,-0.03286,0.0
1787490172.3257096,0.11371,-0.02692,0.0
1787490172.427347,0.11364,-0.02735,0.0
1787490172.5276697,0.11175,-0.03308,0.0
1787490172.6267068,0.11222,-0.03268,0.0
1787490172.7275155,0.1132,-0.02965,0.0
1787490172.826906,0.11366,-0.02942,0.0
1787490172.9260652,0.11289,-0.03328,0.0
1787490173.0273879,0.11225,-0.03471,0.0
1787490173.1273084,0.1115,-0.0339,0.0
1787490173.2260618,0.11105,-0.03282,0.0
1787490173.3284826,0.11124,-0.03238,0.0
1787490173.4293442,0.11079,-0.03329,0.0
1787490173.5291708,0.11073,-0.03311,0.0
1787490173.6272943,0.11084,-0.0314,0.0
1787490173.7261374,0.10621,-0.02714,0.0
1787490173.828363,0.09417,-0.02143,0.0
1787490173.927268,0.08728,-0.02051,0.0
1787490174.0262206,0.09186,-0.02577,0.0
1787490174.1275845,0.09816,-0.02861,0.0
1787490174.2285163,0.09836,-0.02588,0.0
1787490174.3458893,0.09366,-0.0227,0.0
1787490174.4458027,0.09213,-0.0233,0.0
1787490174.5452409,0.09429,-0.02604,0.0
1787490174.6458423,0.09627,-0.02644,0.0
1787490174.745616,0.09615,-0.02523,0.0
1787490174.8451254,0.09438,-0.02418,0.0
1787490174.9453273,0.09436,-0.02443,0.0
1787490175.04538,0.09543,-0.02577,0.0
1787490175.166623,0.09618,-0.02632,0.0
1787490175.2665708,0.09637,-0.02568,0.0
1787490175.3669438,0.09595,-0.02546,0.0
1787490175.4658163,0.09604,-0.02588,0.0
1787490175.5664225,0.09658,-0.0263,0.0
1787490175.6659958,0.09782,-0.02613,0.0
1787490175.7858932,0.10093,-0.02761,0.0
1787490175.8864064,0.10204,-0.02255,0.0
1787490175.9860606,0.1083,-0.00396,0.0
1787490176.0850327,0.11769,0.02039,0.0
1787490176.1861224,0.12329,0.03627,0.0
1787490176.3065612,0.12508,0.03599,0.0
1787490176.4045253,0.11904,0.03032,0.0
1787490176.5060322,0.11768,0.02921,0.0
1787490176.606108,0.11734,0.03053,0.0
1787490176.7078712,0.11799,0.03111,0.0
1787490176.8062086,0.11862,0.03057,0.0
1787490176.9266372,0.11946,0.02964,0.0
1787490177.0261533,0.12271,0.0303,0.0
1787490177.1260993,0.13574,0.04514,0.0
1787490177.227206,0.17535,0.08833,0.0
1787490177.3262591,0.19993,0.11568,0.0
1787490177.4261057,0.21764,0.13401,0.0
1787490177.5261269,0.23522,0.15008,0.0
1787490177.6261635,0.25868,0.16996,0.0
1787490177.7462811,0.28514,0.19304,0.0
1787490177.8466856,0.30982,0.21299,0.0
1787490177.9472134,0.3323,0.22825,0.0
1787490178.0462992,0.35645,0.24165,0.0
1787490178.1462631,0.38353,0.25687,0.0
1787490178.2648044,0.41213,0.2718,0.0
1787490178.3650398,0.4399,0.28435,0.0
1787490178.4650598,0.46723,0.2938,0.0
1787490178.5645022,0.49499,0.30156,0.0
1787490178.6638436,0.5249,0.30944,0.0
1787490178.7866306,0.56965,0.31857,0.0
1787490178.8878121,0.59951,0.32296,0.0
1787490178.9875119,0.62923,0.32457,0.0
1787490179.0871942,0.65936,0.32455,0.0
1787490179.186103,0.68974,0.32295,0.0
1787490179.2850928,0.72016,0.32072,0.0
1787490179.3863676,0.74671,0.31481,0.0
1787490179.4851167,0.75733,0.31284,0.0
1787490179.5857077,0.74753,0.31321,0.0
1787490179.6874304,0.73628,0.31313,0.0
1787490179.8058562,0.73306,0.31418,0.0
1787490179.9060416,0.739,0.31667,0.0
1787490180.006338,0.74601,0.32171,0.0
1787490180.106357,0.76494,0.33417,0.0
1787490180.2060308,0.80136,0.35098,0.0
1787490180.3063462,0.83836,0.36797,0.0
1787490180.4062078,0.86529,0.38081,0.0
1787490180.5265317,0.89678,0.39582,0.0
1787490180.6468573,0.92508,0.40809,0.0
1787490180.7469323,0.94958,0.41943,0.0
1787490180.8467014,0.96093,0.42583,0.0
1787490180.9465926,0.9726,0.43205,0.0
1787490181.0474944,0.9863,0.44089,0.0
1787490181.1472015,1.0003,0.45006,0.0
1787490181.2654607,1.01282,0.45992,0.0
1787490181.3656614,1.02441,0.47172,0.0
1787490181.464643,1.0358,0.48407,0.0
1787490181.5657575,1.04663,0.49621,0.0
1787490181.6655521,1.05624,0.50905,0.0
1787490181.7651005,1.06568,0.52199,0.0
1787490181.8657997,1.07803,0.54195,0.0
1787490181.9641886,1.09765,0.57272,0.0
1787490182.0649183,1.11802,0.60471,0.0
1787490182.1653016,1.13345,0.62958,0.0
1787490182.2862818,1.1521,0.66156,0.0
1787490182.3845224,1.16944,0.68693,0.0
1787490182.485703,1.18989,0.71444,0.0
1787490182.5863264,1.20921,0.73407,0.0
1787490182.6856017,1.2189,0.74328,0.0
1787490182.7856412,1.22564,0.75218,0.0
1787490182.8856008,1.23565,0.76596,0.0
1787490182.9857662,1.24492,0.78051,0.0
1787490183.085345,1.25176,0.799,0.0
1787490183.1853309,1.26622,0.82572,0.0
1787490183.3059733,1.27637,0.84799,0.0
1787490183.4063125,1.2931,0.87622,0.0
1787490183.5059392,1.31278,0.90612,0.0
1787490183.6062586,1.33074,0.92948,0.0
1787490183.7052207,1.34499,0.9457,0.0
1787490183.8062174,1.35341,0.95687,0.0
1787490183.9255614,1.3619,0.97001,0.0
1787490184.0261414,1.36927,0.98464,0.0
1787490184.125695,1.37522,0.99891,0.0
1787490184.2258792,1.38507,1.02508,0.0
1787490184.325891,1.39401,1.051,0.0
